289,,,,,289,,,,,289,,,,289,,,,,,,289,,"ไม่สนใจส่วนใหญ่ โควตาหมดไว เลยไม่ค่อยได้ใช้ระบบ หรือออกจาก สปสช. AIติดภาษาถิ่น"""
รายชื่อลูกค้า,,,,,ติดตามสถานะ PresScribe AI,,,,,ติดตามสถานะ iService,,,,สถานะโทรเชิญชวน,,,,,,,สถานะโทรเชิญชวน MED AI,,
ลำดับ,รหัสหน่วยบริการ,ชื่อลูกค้า,  จังหวัด,BD,สถานะ Provider ID,สถานะการใช้งานระบบ AI,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะ BD,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะโทรติดตาม,รหัสหน่วยบริการ,ai,service, ,หมายเหตุ,Service ที่มี,MED AI,วันที่ติดต่อล่าสุด,feedback
11,51660,คลินิกเวชกรรมแพทย์หญิงรัตนวลี,พิษณุโลก,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,รอพิจารณา,51660,รอพิจารณา,รอพิจารณา,09/1/2026,ทางคลินิกแจ้งว่า ช่วงนี้อาจจะยังไม่ได้ใช้งาน หากสนใจจะติดต่อพี่การ์ฟิวส์ไป,,0.ยังไม่ได้ติดต่อ,,
12,CA0001871,พบแพทย์ คลินิกเวชกรรม,พะเยา,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0001871,ไม่สนใจ AI,ไม่สนใจ iService,20/2/2026,ประชาสัมพันธ์ AI ไปแล้ว ที่คลินิกยังไม่มีไมค์,,0.ยังไม่ได้ติดต่อ,,
13,CA0001769,รัญชิดาคลินิกเวชกรรม,เชียงใหม่,ณิชกุล เจริญสุข,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0001769,ไม่สนใจ AI,ไม่สนใจ iService,26/1/2026,"09/1/2026 ตอนนี้ติดธุระอยู่ค่า เป็นช่วงเย็นๆได้ไหมคะ
26/1/2026 ตอนนี้ยังไม่สนใจ",,0.ยังไม่ได้ติดต่อ,,
14,47554,พิมคลินิกเวชกรรม สาขาสีลม,กรุงเทพมหานคร,ปาณิสรา ตรีรัตนธำรง,-,-,,,,-,,,,รอพิจารณา,47554,รอพิจารณา,รอพิจารณา,09/1/2026,คุณหมอแจ้งว่าผมเคยฟัง Present มาแล้ว,,0.ยังไม่ได้ติดต่อ,,
15,CA0001476,แพทย์รัชชานนท์ คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์,พิษณุโลก,ศิรภัสสร ฐิตะจิราพงษ์,3.มี Provider ID สำหรับคลินิกเเล้ว,5.1 Training การใช้งาน,25/02/2026,"9/02/26 รอได้รับเมลตอบกลับ ติดตามผล 4-5 วัน กรอกสมัครไปเมื่อวันที่ 9/02/26
11/02/26 ได้รับเมล Licen AI เเล้ว
16/02/26 ทีมเทคนิคเซ็ตระบบเเล้ว รอนัดหมายเทรนนิ่งใช้งาน
25/02/26 แจ้ง BD นัดเทรนระบบ AI",,3. ลูกค้าทดลองใช้,10/2/2026,เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน,,สนใจ AI+iService,CA0001476,สนใจ AI,สนใจ iService,09/2/2026,"09/1/2026 ไม่รับสาย / ไม่รับสาย 13.46 น.
26/1/2026 ไม่รับสาย
09/02/2026 สนใจทั้ง 2",มี iservice,0.ยังไม่ได้ติดต่อ,,
16,54124,คลินิกเวชกรรมนายแพทย์จิรวัฒน์,แพร่,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,54124,ไม่สนใจ AI,ไม่สนใจ iService,20/2/2026,"09/01/26 ประชาสัมพันธ์ AI ไปแล้ว  คุณหมอแจ้งว่า ยังไม่สนใจ
20/02/26 ทางคลินิกถูกออดิท และยังลังเลกับนโยบายใหม่สปสช. เลยไม่ได้ใช้ระบบเลย รอเคลียออดิท",,0.ยังไม่ได้ติดต่อ,,
17,90189,คลินิกเวชกรรม รวมแพทย์หล่มสัก,เพชรบูรณ์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,90189,ไม่สนใจ AI,ไม่สนใจ iService,20/2/2026,ประชาสัมพันธ์ AI ไปแล้ว  ยังไม่สนใจใช้งาน ทุกวันนี้ใช้งานก็ปกติดีแล้ว,,0.ยังไม่ได้ติดต่อ,,
18,CA0000639,คูณหอม คลินิกเวชกรรม,กรุงเทพมหานคร,ณิชกุล เจริญสุข,-,-,,,,-,,,,รอพิจารณา,CA0000639,รอพิจารณา,รอพิจารณา,09/2/2026,"09/1/2026 คุณหมอแจ้งว่าค่อยโทรมาใหม่ได้ไหมครับ ยังไม่สะดวกคุยครับ / 1301 แจ้งว่ายังไม่สะดวกคุย ให้อายส่งรายละเอียดให้ทางไลน์ดีกว่า
26/1/2026 แจ้งว่ายังไม่สะดวกคุย
09/02/26  ให้อายส่งรายละเอียดให้ทางไลน์แล้ว",,0.ยังไม่ได้ติดต่อ,,
19,CA0001175,คลินิกเวชกรรมเฉพาะทาง แพทย์เวชศาสตร์ครอบครัว,ลำปาง,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,รอพิจารณา,CA0001175,รอพิจารณา,รอพิจารณา,09/1/2026,ขอรายละเอียดส่งให้ทางไลน์เพื่อศึกษาก่อน,,0.ยังไม่ได้ติดต่อ,,
20,27153,คลินิกเวชกรรมนายแพทย์สุพัตร,ร้อยเอ็ด,อริสรา ส่วนบุญ,2.4 ทางคลินิกกด Activate,อยู่ระหว่างสมัคร Provider ID,25/02/2026,"11/02/2026 ส่งไฟล์ให้ลูกค้ากรอก
16/02/26 ทีมเทคนิคเซ็ตระบบเเล้ว รอนัดหมายเทรนนิ่งใช้งาน  25/02/2026 ได้รับไฟล์จากคลินิกแล้ว ส่งให้ไนซ์ดำเนินการต่อ
25/02/26 ส่งไฟล์ excel ให้ TID แล้ว
27/02/26 รอหมอกด activate",,2. นำส่ง User ให้ลูกค้าเเล้ว,12/2/2026,เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน,,สนใจ AI+iService,27153,สนใจ AI,สนใจ iService,26/1/2026,"09/1/2026 โทรไม่ติด / โทรติดตามใหม่ไม่ติด 13.50 น.
26/1/2026 คุณหมอสนใจใช้งานทั้ง 2 ระบบ เบื้องต้นมี Provider ID ในนามคลินิกแล้ว",มี iservice,0.ยังไม่ได้ติดต่อ,,
21,CA0002187,วิสุทธิ์คลินิกเวชกรรม,สงขลา,ธวัชชัย รุ่งเสถียรภูธร,3.มี Provider ID สำหรับคลินิกเเล้ว,5.1 Training การใช้งาน,16/02/2026,"12/01/26 นำส่งข้อมูลให้พี่น้ำฝนนำเข้าระบบเเล้ว
14/01/26 แจ้งลูกค้ากด Activate
11/02/26 โทรติดตามการขอ Licene AI ยังไม่ได้รับ / ได้รับ License AI ทางเมลแล้ว
16/02/26 ทีมเทคนิคเซ็ตระบบเเล้ว รอนัดหมายเทรนนิ่งใช้งาน",,-,,,,สนใจ AI,CA0002187,สนใจ AI,ไม่สนใจ iService,09/1/2026,ให้พี่บูมส่งรายละเอียดให้ทางไลน์,,0.ยังไม่ได้ติดต่อ,,
22,90191,บูรพเวชคลินิกเวชกรรม,ระยอง,อริสรา ส่วนบุญ,-,-,,,,-,,,,รอพิจารณา,90191,รอพิจารณา,รอพิจารณา,09/1/2026,คุณหมมอแจ้งว่าให้ส่งรายละเอียดให้ทางไลน์,,0.ยังไม่ได้ติดต่อ,,
23,90193,คลินิกเวชกรรมแพทย์หญิงมณีมัย,นครราชสีมา,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,90193,รอพิจารณา,รอพิจารณา,09/1/2026,คุณหมอแจ้งว่า เดี๋ยวจะติดต่อไปอีกที,,0.ยังไม่ได้ติดต่อ,,
24,CA0000748,คลินิกเวชกรรมบ้านสวน,แพร่,ณิชกุล เจริญสุข,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0000748,ไม่สนใจ AI,ไม่สนใจ iService,26/1/2026,"09/1/2026 โทรไม่ติด 16.09 น. / ไม่รับสาย 14.07 น.
26/1/2026 คนไข้ไม่ค่อยจะมี และใช้งานระบบยังไม่ค่อยคล่อง",,0.ยังไม่ได้ติดต่อ,,
25,CA0002066,กิตติศักดิ์คลินิกเวชกรรม,พะเยา,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,CA0002066,รอพิจารณา,รอพิจารณา,09/1/2026,โทรไม่ติด 16.11 น. / อธิบายรายละเอียดคร่าวๆแล้ว เเจ้งให้พี่หนึ่งส่งรายละเอียดทางไลน์อีกที,,0.ยังไม่ได้ติดต่อ,,
26,CA0002331,คลินิกเวชกรรมหมอแวฟารินดา,นราธิวาส,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,CA0002331,ติดต่อใหม่,ติดต่อใหม่,26/1/2026,"09/1/2026 แจ้งว่าอันนี้เป็นเบอร์คลินิกไม่ใช่เบอร์หมอ จะให้คุณหมอโทรกลับช่วงเย็น
26/1/2026 ไม่รับสาย
09/02/2026 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
27,CA0001491,หาหมอคลินิกเวชกรรม(สาขาสถานพยาบาล),เชียงราย,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,CA0001491,ไม่สนใจ AI,ไม่สนใจ iService,26/1/2026,"09/1/2026 เป็นเบอร์คลินิก เจ้าหน้าที่รับสายแจ้งว่าคุณหมอมาตอนเช้า
26/1/2026 ตอนนี้ยังไม่สนใจ",,0.ยังไม่ได้ติดต่อ,,
28,CA0001378,คลินิกเฉพาะทางด้านเวชกรรมสาขาเวชศาสตร์ฉุกเฉินบ้านหมออรรถ,แพร่,ศิรภัสสร ฐิตะจิราพงษ์,-,-,,,,-,,,,ติดต่อใหม่,CA0001378,ติดต่อใหม่,ติดต่อใหม่,09/2/2026,"09/1/2026 หมอขับรถอยู่ หมอไม่แน่ใจว่าจะเข้าร่วม สปสช. ต่อไหม พรุ่งนี้ติดต่อใหม่อีกที 16.30 น.
26/1/2026 ไม่รับสาย
09/02/2026 โทรอีกทีหลัง 16.30 น. หมอทำงานอยู่",,0.ยังไม่ได้ติดต่อ,,
29,42467,หนองตมคลินิกเวชกรรม,พิษณุโลก,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,42467,รอพิจารณา,รอพิจารณา,26/1/2026,"09/1/2026 ไม่รับสาย 16.32 น. / ไม่รับสาย 14.23 น.
26/1/2026 ",,0.ยังไม่ได้ติดต่อ,,
30,CA0001787,คลินิกนายแพทย์ปวริศร คลินิกเฉพาะทางด้านเวชกรรม สาขาอายุรศาสตร์,บุรีรัมย์,ศิรภัสสร ฐิตะจิราพงษ์,-,-,,,,-,,,,รอพิจารณา,CA0001787,รอพิจารณา,รอพิจารณา,09/1/2026,อธิบายรายละเอียดคร่าวๆ,,0.ยังไม่ได้ติดต่อ,,
31,CA0002145,คลินิกเวชกรรมหมอชยุตพล,พะเยา,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,CA0002145,รอพิจารณา,รอพิจารณา,09/1/2026,โทรไม่ติด 10.49 น. / อธิบายรายละเอียดเบื้องต้นเเล้ว เเจ้งให้จุ้ยส่งรายละเอียดเพิ่มเติมให้ทางไลน์,,0.ยังไม่ได้ติดต่อ,,
32,CA0002201,คลินิกเวชกรรมนายแพทย์ยศบดินทร์,ศรีสะเกษ,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,-,,,,รอพิจารณา,CA0002201,รอพิจารณา,รอพิจารณา,09/1/2026,ส่งรายละเอียดให้พิจารณาทางไลน์เเล้ว,,0.ยังไม่ได้ติดต่อ,,
33,CA0002158,หมอสิทธิชัยคลินิกเวชกรรม,ราชบุรี,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,CA0002158,รอพิจารณา,รอพิจารณา,26/1/2026,"09/1/2026 คุณหมอแจ้งว่าไม่สะดวกเลย 11.02 น.
26/1/2026 ส่งข้อมูลไปให้ก่อน รอพิจารณา
12/02/26 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
34,40926,คลินิกเวชกรรมไชยาการแพทย์,สุราษฎร์ธานี,อริสรา ส่วนบุญ,-,-,,,,-,,,,รอพิจารณา,40926,รอพิจารณา,รอพิจารณา,09/1/2026,ประชาสัมพันธ์แล้ว แจ้งให้พี่มิ้มส่งรายละเอียดเพิ่มเติมให้ทางไลน์อีกที,,0.ยังไม่ได้ติดต่อ,,
35,29112,คลินิกเวชกรรมนายแพทย์วศิน,อุทัยธานี,ชลธิชา ช่วยพันธ์,3.มี Provider ID สำหรับคลินิกเเล้ว,-,,,,-,,,,รอพิจารณา,29112,รอพิจารณา,รอพิจารณา,09/2/2026,"09/1/2026 ไม่รับสาย 11.40 น. / ไม่รับสาย 14.33 น. 
26/1/2026 ส่งข้อมูลไปให้ก่อน รอพิจารณา
09/02/2026 แจ้งให้พี่ฟิวส่งรายละเอียดพิจารณาทางไลน์",มี Provider แล้ว เหมือกด Activate,0.ยังไม่ได้ติดต่อ,,
36,CA0002173,คลินิกเวชกรรมนายแพทย์กาจพล,เพชรบูรณ์,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,รอพิจารณา,CA0002173,รอพิจารณา,รอพิจารณา,09/1/2026,"09/01/26 ประชาสัมพันธ์ AI แล้ว แจ้งให้แพรวาส่งรายละเอียดเพิ่มเติมให้ทางไลน์อีกที
23/01/26 หมอเเจ้งว่า ติดงานอยู่",,0.ยังไม่ได้ติดต่อ,,
37,54891,ธีร์คลินิกเวชกรรม,พิษณุโลก,ณิชกุล เจริญสุข,-,-,,,,-,,,,รอพิจารณา,54891,รอพิจารณา,รอพิจารณา,09/1/2026,ไม่รับสาย 13.15 น. / อธิบายรายละเอียดเเล้ว เเจ้งให้อายส่งรายละเอียดเพิ่มเติมทางไลน์อีกที 17.17 น. ,,0.ยังไม่ได้ติดต่อ,,
38,41987,รักษ์สุขภาพเพชรบุรี 7 คลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,41987,รอพิจารณา,รอพิจารณา,09/1/2026,ให้พี่จุ๊ยส่งรายละเอียดให้ทางไลน์เเล้ว,,0.ยังไม่ได้ติดต่อ,,
39,90187,คลินิกเวชกรรมแพทย์หญิงนัฐชนก,บุรีรัมย์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,90187,ติดต่อใหม่,ติดต่อใหม่,17/2/2026,"09/1/2026 คุณหมอแจ้งว่า พอดีจะตรวจคนไข้บ่ายเเล้ว ยังไม่สะดวก
26/1/2026 ไม่รับสาย
09/02/1/2026 ไม่รับสาย
17/02/26 ตัดบทพูดว่า ยังไม่ว่างจ่ะ พอดีจ่ะใส่ท่ออยู่",,0.ยังไม่ได้ติดต่อ,,
40,CA0002170,นิมิตใหม่คลินิกเวชกรรม,ปทุมธานี,ธวัชชัย รุ่งเสถียรภูธร,-,-,,,,-,,,,รอพิจารณา,CA0002170,รอพิจารณา,รอพิจารณา,09/1/2026,อธิบายรายละเอียดเเล้ว แจ้งว่าเดี๋ยวให้พี่บูมส่งรายละเอียดให้ทางไลน์อีกที,,0.ยังไม่ได้ติดต่อ,,
41,CA0002131,คลินิกเฉพาะทางด้านเวชกรรมสาขาเวชศาสตร์ครอบครัวแพทย์หญิงศรินญา,เพชรบูรณ์,ธนวัฒน์ เศวตวงศ์,-,-,,,,3. ลูกค้าทดลองใช้,16/2/2026,,,สนใจ iService,CA0002131,ไม่สนใจ AI,สนใจ iService,09/2/2026,"09/1/2026 คุณหมอน่าจะไม่สะดวก เเจ้งว่า เป็นตอนเย็นได้ไหมคะ 13.45 น.
26/1/2026 ไม่รับสาย
09/02/26 สนใจ iservice",มี iservice,0.ยังไม่ได้ติดต่อ,,
42,52171,วีแคร์ คลินิกเวชกรรม,กรุงเทพมหานคร,ปาณิสรา ตรีรัตนธำรง,-,-,,,,-,,,,ติดต่อใหม่,52171,ติดต่อใหม่,ติดต่อใหม่,17/2/2026,"09/1/2026 โทรไม่ติด 13.48 น. / โทรไม่ติด 15.01 น.
27/1/2026 ไม่รับสาย
09/02/2026 ไม่รับสาย
17/02/26 หมอเเจ้งว่า ยังไม่ได้ใช้ระบบเลย เดี๋ยวให้เจ้าหน้าทีศึกษา เดี๋ยวจะลองใช้ดูนะ เดี๋ยวติดต่อกลับไปอีกที",,0.ยังไม่ได้ติดต่อ,,
43,CA0001319,คลินิกเวชกรรมหมอสัณห์สิรี,พะเยา,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,CA0001319,รอพิจารณา,รอพิจารณา,09/1/2026,ไม่รับสาย 13.59 น. / อธิบายรายละเอียดคร่าวๆ เเล้ว แจ้งให้พี่หนึ่งส่งรายละเอียดให้เพิ่มเติมทางไลน์ ,,0.ยังไม่ได้ติดต่อ,,
44,CA0002321,แพทย์บัญจพารัตน์ คลินิกเวชกรรม,ยะลา,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,CA0002321,รอพิจารณา,รอพิจารณา,09/1/2026,ไม่รับสาย 14.03 น. / อธิบายรายละเอียดเบื้องต้นเเล้ว แจ้งให้พี่หนึ่งส่งรายละเอียดให้เพิ่มเติมทางไลน์ ,,0.ยังไม่ได้ติดต่อ,,
45,49186,คลินิกเวชกรรมแพทย์หญิงจิรนิษฐ์,นครราชสีมา,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,49186,ไม่สนใจ AI,ไม่สนใจ iService,09/2/2026,"09/1/2026 คุณหมอเเจ้งว่าพี่ติดงานอยู่  14.48 น.
27/1/2026 ตอนนี้ทางคลินิก รับแต่คนไข้เคสเงินสด ซึ่งน้อยมาก ก็คงจะต้องชะลอการใช้งานโปรแกรมอื่นๆไปด้วย",,0.ยังไม่ได้ติดต่อ,,
46,CA0002308,คลินิกเวชกรรมหมอเบญจมาศ,เชียงใหม่,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,-,,,,รอพิจารณา,CA0002308,รอพิจารณา,รอพิจารณา,09/1/2026,ส่งรายละเอียดให้พิจารณาทางไลน์เเล้ว,,0.ยังไม่ได้ติดต่อ,,
47,49862,สยามเวช คลินิกเวชกรรม,ระยอง,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,-,รอพิจารณา,รอพิจารณา,09/2/2026,"09/1/2026 หมอแจ้งว่า ตอนนี้ยังไม่สะดวกเลยค่ะ 
27/1/2026 ส่งข้อมูลไปให้ทางคลินิกก่อน แล้วรอทางผู้บริหารแจ้งอีกครั้ง",,0.ยังไม่ได้ติดต่อ,,
48,46561,คลินิกเวชกรรมนายแพทย์เลิศวิทย์,ร้อยเอ็ด,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,46561,ติดต่อใหม่,ติดต่อใหม่,09/2/2026,"09/1/2026 พูดว่าซักครูนะครับ 5 นาทีครับ และกดวางสายไปเลย
27/1/2026 ไม่ัรับสาย
09/02/26 หมอตรวจคนไข้อยู่ 17.34 น.",,0.ยังไม่ได้ติดต่อ,,
49,48064,คลินิกเวชกรรมนายแพทย์เกรียงไกร,ร้อยเอ็ด,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,48064,ติดต่อใหม่,ติดต่อใหม่,26/2/2026,"หมอติดงานตรวจ opd
27/1/2026 ไม่รับสาย
09/02/2026 ไม่รับสาย
17/02/26 ไม่รับสาย
18/02/26 ไม่รับสาย ยินดีต้องรับรับฝากข้อความ
20/02/26 ไม่รับสาย ยินดีต้องรับรับฝากข้อความ
24/02/26 ไม่รับสาย 17.21 น.
26/02/26 หมอตรวจคนไข้อยู่ 17.12 น.",,0.ยังไม่ได้ติดต่อ,,
50,45099,คลินิกเวชกรรมนายแพทย์ธนพล,ร้อยเอ็ด,จตุพร ผาสุจิต,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,26/2/2026,"นำส่งให้ลูกค้า
22/01/26  ช่วงนี้ติดประชุม เดี๋ยวลองเข้าใช้งานวันอาทิตย์เปิดระบบ 
26/2/2026 ช่วงนี้ยังไม่มีเวลาใช้งาน",ยังไม่มีเวลาทดสอบ,สนใจ iService,45099,ไม่สนใจ AI,สนใจ iService,15/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
51,45019,บ้านทอนคลินิกเวชกรรม,นราธิวาส,จตุพร ผาสุจิต,3.มี Provider ID สำหรับคลินิกเเล้ว,7.เคยทดลองใช้เล้วยกเลิก,10/02/2026,11/09/25 ทดลองใช้งานแล้ว ค่อนข้างหน่วงและช้า ประมาณ 30 วิ ถึงจะประมวลผล ,,-,,,,สนใจ AI,45019,สนใจ AI,ไม่สนใจ iService,,,,0.ยังไม่ได้ติดต่อ,,โทรไม่รับ
